id,nazwa,rodzaj,masaAtomowa,rokOdkrycia,okres,elektroujemnosc,wartosciowosc
1,wodór,niemetal,1.0078,"1766",1,"2.2",1
2,hel,gaz szlachetny,4.0026,1868,1,brak,0
3,lit,metal,6.9410,1817,2,"1.0",1
4,beryl,metal,9.0122,1797,2,"1.5",2
5,bor,półmetal,10.811,1808,2,"2.0",2
6,węgiel,niemetal,12.011,1500,2,"2.5","1, 4"
7,azot,niemetal,14.007,1772,2,"3.0","1, 2, 3, 4, 5"
8,tlen,niemetal,15.999,1774,2,"3.5",2 
9,fluor,niemetal,18.998,1886,2,"4.0",1
10,neon,gaz szlachetny,20.180,1898,2,brak,0
11,sód,metal,22.990,1807,3,"0.9",1
12,magnez,metal,24.305,1755,3,"1.2",2
13,glin,metal,26.982,1825,3,"1.5",3
14,krzem,półmetal,28.086,1824,3,"1.8",4
15,fosfor,niemetal,30.974,1669,3,"2.1","1, 3, 4, 5"
16,siarka,niemetal,32.065,1400,3,"2.5","2, 4, 6"
17,chlor,niemetal,35.453,1774,3,"3.0","1, 3, 4, 5, 7"
18,argon,gaz szlachetny,39.948,1894,3,brak,0
19,potas,metal,39.098,1807,4,"0.8",1
20,wapń,metal,40.078,1808,4,"1.0",2
21,skand,metal,44.956,1879,4,"1.3",3
22,tytan,metal,47.867,1791,4,"1.5","2, 3, 4"
23,chrom,metal,51.996,1797,4,"1.9","2, 3, 6"
24,mangan,metal,54.938,1774,4,"1.5","2, 3, 4, 6, 7"
25,żelazo,metal,55.845,-1800,4,"1.8","2, 3"
26,kobalt,metal,58.933,1735,4,"1.8","2, 3"
27,nikiel,metal,58.693,1751,4,"1.8","2, 3"
28,miedź,metal,63.546,-10000,4,"1.9","1, 2"
29,cynk,metal,65.380,1746,4,"1.6",2
30,gal,metal,69.723,1875,4,"1.6",3
31,german,półmetal,72.640,1886,4,"1.8","2, 4"
32,arsen,półmetal,74.922,1250,4,"2.0","3, 5"
33,selen,niemetal,78.960,1817,4,"2.4","2, 4, 6"
34,brom,niemetal,79.904,1826,4,"2.8","1, 3, 4, 5, 7"
35,krypton,gaz szlachetny,83.798,1898,4,brak,0
36,rubid,metal,85.468,1861,5,"0.8",1
37,stront,metal,87.620,1790,5,"1.0",2
38,itr,metal,88.906,1794,5,"1.3",3 
39,wanad,metal,50.942,1801,4,"1.6","2, 3, 4, 5"
40,cyrkon,metal,91.224,1789,5,"1.4",4
41,ksenon,gaz szlachetny,131.29,1898,5,brak,0
42,radon,gaz szlachetny,222,1900,6,brak,0
43,srebro,metal,107.87,-500,5,"1.9","1, 2"
44,cyna,metal,118.71,-500,5,"1.9","2, 4"
45,jod,niemetal,126.904,1811,5,"2.7","1, 3, 5, 7"
46,wolfram,metal,183.84,1783,6,"2.4","2, 3, 4, 5, 6"
47,platyna,metal,195.084,1735,6,"2.3","2, 4"
48,złoto,metal,196.966,-1000,6,"2.5","1, 3"
49,rtęć,metal,200. 592,1000,6,"2.0","1, 2"
50,ołów,metal,207.2,-1000,6,"2.3","2, 4"
51,rad,metal,226,1898,7,"0.9",2
52,uran,metal,238.03,1789,7,"1.4","3, 4, 5, 6"
53,neptun,metal,237,1940,7,"1.4","3, 4, 5, 6, 7"
54,pluton,metal,244,1940,7,"1.3","3, 4, 5, 6, 7"
55,berkel,metal,247,1949,7,"1.3","3, 4"
56,ameryk,metal,243,1944,7,"1.3","3, 4"
57,tor,metal,232.037,1828,7,"1.3",4
58,aktyn,metal,227,1899,7,"1.1",3
59,iryd,metal,192.217,1803,6,"2.2","3, 4"
60,neodym,metal,144.242,1885,6,"1.1",3 
61,prazeodym,metal,140.907,1885,6,"1.1",3 
62,cer,metal,140.116,1803,6,"1.1","3, 4"
63,bar,metal,137.327,1808,6,"0.9",2
64,antymon,metal,121.76,-1000,5,"2.0","3, 5"
65,pallad,metal,106.42,1803,5,"2.2","2, 4"
66,cez,metal,132.905,1860,6,"0.8",1
67,promet,metal,145,1945,6,"1.1",3
68,terb,metal,158.925,1843,6,"1.2",3
69,europ,metal,151.965,1901,6,brak,"2, 3"
70,dysproz,metal,162.5,1886,6,"1.2",3
